               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  62,            0.021319,            0.024457,           0.0035636,             0.67192,              0.7372,             0.72791,             0.49463,            0.011104,           0.0080682,           0.0021896,            0.003961,            0.003961,            0.003961,             0.45514,             0.53202,             0.36336,             0.81482,             0.47173,             0.33069,             0.77581,             0.83462,              0.5165,             0.91877,             0.75772,             0.56406
                  63,             0.02118,            0.022393,           0.0034784,             0.79234,             0.66807,             0.73482,              0.5011,            0.011533,           0.0081249,           0.0021797,            0.003862,            0.003862,            0.003862,             0.44382,             0.50876,             0.39797,             0.79777,             0.46147,             0.39682,             0.81481,             0.79708,             0.44729,             0.93101,             0.72185,             0.69688
                  64,             0.01999,            0.022432,           0.0048093,             0.67939,             0.65183,             0.67309,             0.44095,            0.011773,           0.0085844,           0.0020497,            0.003763,            0.003763,            0.003763,             0.42459,              0.4306,             0.29526,             0.79465,             0.40812,             0.29249,             0.75161,             0.70564,              0.3845,             0.95303,             0.69126,             0.55248
                  65,            0.021458,            0.023582,           0.0039526,             0.65015,             0.68555,             0.65842,             0.43724,            0.011775,           0.0089273,           0.0022766,            0.003664,            0.003664,            0.003664,             0.42539,             0.44553,             0.27858,             0.80775,             0.41749,             0.24868,             0.75671,             0.72363,             0.35427,             0.95629,             0.70669,             0.45294
                  66,            0.022357,            0.020867,           0.0040255,             0.74928,             0.63953,             0.68487,             0.47942,            0.012493,           0.0086368,           0.0022701,            0.003565,            0.003565,            0.003565,             0.39789,             0.52072,             0.32519,             0.82828,             0.49274,              0.3117,             0.60985,             0.85294,             0.37036,             0.95949,             0.76939,             0.54719
                  67,            0.020821,            0.021723,           0.0047368,             0.68233,             0.68606,              0.6886,             0.46296,            0.011761,           0.0087033,           0.0022392,            0.003466,            0.003466,            0.003466,             0.47027,              0.5081,             0.15073,             0.82234,             0.51575,             0.31056,             0.76109,             0.83328,             0.19194,             0.94375,             0.79176,             0.60981
                  68,            0.019704,             0.02386,           0.0034384,             0.55492,             0.67991,             0.65927,             0.43783,            0.011816,           0.0086159,           0.0023435,            0.003367,            0.003367,            0.003367,             0.44203,             0.48691,            0.083732,             0.82636,             0.41931,             0.36863,             0.76349,             0.85628,            0.096284,             0.92669,             0.62931,              0.6836
                  69,            0.020129,            0.024096,           0.0039746,             0.69911,              0.6846,             0.69231,             0.46795,            0.011102,           0.0079587,           0.0020581,            0.003268,            0.003268,            0.003268,             0.44568,             0.56498,             0.14084,             0.81233,             0.38725,             0.45663,             0.78904,             0.84202,              0.2035,             0.93546,             0.64083,             0.74304
                  70,              0.0202,            0.022577,           0.0029252,             0.62851,             0.71308,             0.69223,             0.45521,            0.012263,           0.0080495,           0.0021009,            0.003169,            0.003169,            0.003169,             0.45571,             0.47212,             0.29571,             0.77254,             0.41732,             0.31786,             0.80638,             0.78408,             0.36079,              0.9262,             0.66064,              0.6153
                  71,            0.020669,            0.024301,           0.0034943,              0.8492,             0.61633,             0.72263,             0.46947,            0.011806,           0.0081225,           0.0019848,             0.00307,             0.00307,             0.00307,             0.49974,             0.50017,             0.15826,             0.75443,             0.49475,             0.40949,              0.7895,             0.85252,             0.29856,             0.93688,             0.69584,             0.76247
