               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/banana_mAP,metrics/broccoli_mAP,metrics/egg carton_mAP,    metrics/eggs_mAP,    metrics/milk_mAP, metrics/yoghurt_mAP,metrics/banana_mAP_50,metrics/broccoli_mAP_50,metrics/egg carton_mAP_50, metrics/eggs_mAP_50, metrics/milk_mAP_50,metrics/yoghurt_mAP_50
                  60,             0.02322,            0.024853,           0.0055406,             0.74701,              0.5686,             0.63444,             0.45242,            0.013321,           0.0087666,           0.0036095,            0.004159,            0.004159,            0.004159,             0.48237,             0.47975,             0.13202,             0.76803,             0.43359,             0.41875,             0.76745,             0.82333,               0.163,             0.86362,             0.59936,             0.58985
                  61,            0.023515,            0.024607,           0.0039329,             0.65998,             0.63151,              0.6977,             0.48327,            0.012413,           0.0083097,           0.0044936,             0.00406,             0.00406,             0.00406,             0.42993,             0.49203,             0.35762,             0.74312,             0.49732,             0.37961,             0.67813,             0.77029,             0.63115,             0.91024,             0.69725,             0.49914
                  62,            0.023702,            0.027017,              0.0047,             0.72241,             0.57334,              0.7354,               0.489,            0.011362,           0.0076706,           0.0045418,            0.003961,            0.003961,            0.003961,             0.42471,             0.50482,             0.30144,             0.77945,             0.49299,             0.43059,             0.70658,             0.84543,             0.59075,             0.91324,             0.74375,             0.61262
                  63,            0.022906,            0.023593,           0.0043658,             0.63606,             0.66769,             0.71646,             0.47899,            0.011265,           0.0075288,           0.0041967,            0.003862,            0.003862,            0.003862,             0.49135,              0.5499,             0.24324,             0.74686,             0.46568,             0.37693,             0.72198,             0.83912,             0.51004,             0.95647,             0.73052,             0.54065
                  64,            0.021383,            0.025853,           0.0043311,             0.58731,             0.58278,             0.68032,             0.45798,            0.011508,           0.0080443,           0.0041142,            0.003763,            0.003763,            0.003763,             0.41597,             0.50699,             0.17191,             0.79533,             0.43954,             0.41815,             0.69772,             0.82569,              0.3485,             0.95187,              0.6781,             0.58002
                  65,             0.02485,            0.025261,            0.005843,             0.64625,              0.6659,             0.65517,             0.43689,             0.01325,           0.0087253,            0.003531,            0.003664,            0.003664,            0.003664,             0.38276,              0.4544,             0.22889,             0.80078,             0.33632,             0.41821,             0.64976,             0.80168,             0.48141,              0.9397,             0.51551,             0.54297
                  66,            0.022061,            0.023718,           0.0041154,              0.5993,             0.63172,             0.68237,             0.43145,            0.013784,           0.0087274,           0.0035906,            0.003565,            0.003565,            0.003565,             0.42278,             0.42318,             0.21469,             0.74639,              0.4228,             0.35885,             0.71511,             0.78132,             0.46486,             0.90824,             0.67037,             0.55436
                  67,            0.021258,            0.023067,           0.0041019,             0.80404,             0.60024,             0.66715,             0.46802,            0.012093,           0.0088864,           0.0035231,            0.003466,            0.003466,            0.003466,             0.43564,             0.44954,             0.32108,             0.78984,             0.45151,             0.36049,             0.77301,             0.78501,              0.3629,             0.93582,              0.6468,             0.49936
                  68,             0.02235,            0.025054,           0.0041968,             0.60115,             0.64729,             0.68291,             0.47049,            0.012937,           0.0080163,           0.0034195,            0.003367,            0.003367,            0.003367,             0.44854,             0.49054,             0.35287,             0.74862,             0.38426,             0.39809,             0.78661,             0.82156,             0.41959,             0.89448,             0.60355,             0.57169
                  69,            0.020906,            0.026239,           0.0039997,             0.76629,             0.57163,             0.69372,              0.4752,            0.011967,           0.0074653,           0.0035484,            0.003268,            0.003268,            0.003268,             0.49437,             0.52828,               0.305,             0.77925,             0.43032,               0.314,             0.80398,             0.87591,             0.42244,             0.91768,             0.64163,             0.50071
                  70,            0.021163,            0.024899,           0.0048128,              0.5312,             0.66002,             0.69249,             0.44621,            0.011997,           0.0076709,           0.0043221,            0.003169,            0.003169,            0.003169,             0.47204,             0.48888,             0.16702,             0.81131,             0.48168,             0.25635,             0.77402,             0.90542,              0.3655,             0.96093,             0.73756,             0.41149
                  71,            0.021108,            0.025423,           0.0035134,             0.84041,             0.53136,             0.66383,             0.45004,            0.012287,           0.0077098,           0.0043832,             0.00307,             0.00307,             0.00307,             0.46866,             0.50216,             0.10219,             0.82221,             0.52764,             0.27738,              0.7312,             0.88533,             0.17878,             0.96477,             0.76182,             0.46108
                  72,            0.020769,            0.024725,           0.0038188,              0.6474,             0.63889,             0.65643,             0.43826,            0.012641,           0.0080591,            0.004211,            0.002971,            0.002971,            0.002971,             0.48079,             0.49524,             0.15967,              0.7989,             0.41745,             0.27748,             0.69276,             0.87984,             0.20891,             0.94276,             0.71136,             0.50294
                  73,            0.021603,             0.02319,           0.0035093,             0.65078,             0.68339,             0.67563,             0.45562,            0.013028,           0.0083249,           0.0032125,            0.002872,            0.002872,            0.002872,             0.49587,             0.55539,             0.15388,             0.77879,             0.43002,             0.31975,             0.77561,              0.9454,             0.20224,             0.91698,             0.68631,             0.52722
                  74,            0.021621,            0.023485,           0.0042146,             0.61856,              0.7177,             0.72462,             0.47669,            0.012756,           0.0078986,           0.0028463,            0.002773,            0.002773,            0.002773,             0.51723,             0.56355,             0.20327,             0.79504,             0.45282,             0.32826,             0.74885,             0.92788,             0.51193,             0.93124,             0.67498,             0.55284
                  75,            0.021852,            0.023336,           0.0036218,             0.74985,             0.69389,             0.73755,             0.47799,            0.013586,           0.0079911,           0.0031666,            0.002674,            0.002674,            0.002674,             0.37927,             0.47841,             0.41357,              0.8068,             0.49343,             0.29646,             0.70053,               0.876,              0.6852,              0.9438,             0.69274,             0.52702
                  76,            0.020249,            0.022678,           0.0046232,             0.69044,             0.66702,             0.71811,             0.49756,            0.012523,           0.0081571,           0.0029262,            0.002575,            0.002575,            0.002575,             0.43941,             0.50894,             0.36822,             0.79967,             0.50714,               0.362,             0.75035,             0.79843,               0.512,             0.95789,             0.70617,             0.58385
                  77,            0.021625,            0.023269,           0.0034088,              0.6638,             0.64488,             0.68699,             0.48761,            0.012316,           0.0082891,           0.0029863,            0.002476,            0.002476,            0.002476,             0.46205,             0.44207,             0.29486,              0.8153,             0.52218,             0.38918,              0.7191,             0.77932,             0.40576,             0.94827,             0.72733,             0.54218
                  78,            0.021325,             0.02339,           0.0039038,             0.71838,             0.69599,             0.71633,              0.4762,            0.012736,           0.0079254,            0.002654,            0.002377,            0.002377,            0.002377,             0.47553,             0.43971,             0.26953,             0.82205,             0.44656,             0.40383,             0.74159,              0.8601,             0.42694,             0.93693,             0.69109,             0.64131
                  79,            0.019584,            0.022058,           0.0038191,             0.63513,             0.68666,             0.69178,             0.46171,             0.01184,           0.0086068,           0.0027142,            0.002278,            0.002278,            0.002278,             0.50064,             0.45009,             0.25255,             0.79675,             0.40947,             0.36075,             0.78505,             0.80203,             0.47869,             0.93183,             0.65451,             0.49859
